sensor_id,installation_date,manufacturer
1,2023-09-13,Campbell and Sons
2,2023-09-15,Herrera Ltd
3,2023-12-02,"Miller, Morgan and Rodriguez"
4,2023-08-28,"Mcbride, Robinson and Kerr"
5,2024-04-26,"Garcia, Coffey and Goodwin"
6,2023-06-27,Thomas LLC
7,2024-02-24,Grant-Schultz
8,2023-07-06,"Barker, Schroeder and Hinton"
9,2023-08-16,"Miller, Tucker and Brown"
10,2023-09-14,Harper-Cardenas
11,2023-06-07,Torres LLC
12,2024-04-07,Morris Group
13,2024-01-25,"Brooks, Rogers and Beard"
14,2023-07-12,"Byrd, Wagner and Ellis"
15,2023-09-06,Smith-Macdonald
16,2023-09-25,"Kim, Murphy and Reeves"
17,2024-02-18,"Daniel, Morgan and Neal"
18,2023-08-18,Garcia Group
19,2024-02-24,"Carter, Perry and Mccarthy"
20,2023-08-20,Wright-Ryan
21,2023-05-20,"Wilkinson, Perry and Lambert"
22,2023-10-07,"Morrow, Spence and Jennings"
23,2024-04-06,Schmidt-Nguyen
24,2023-09-10,Watson-Davis
25,2023-05-21,"Sharp, Cook and Robinson"
26,2023-05-20,"Morales, Herrera and Robinson"
27,2024-02-06,Bond LLC
28,2023-08-17,Wood-Evans
29,2024-03-01,Cabrera PLC
30,2023-07-07,"Stevens, Wilson and Wagner"
